instance_size;density;lb_deviation;lb_hit;execution_time
;;;;
(4, 4);LD;0.01196931163865283;7;0.9484986305236817
;;;;
(4, 4);MD;0.0;10;0.9458137035369873
;;;;
(4, 4);HD;0.0;10;0.9292979717254639
;;;;
(7, 7);LD;0.0005128205128205128;9;4.188146615028382
;;;;
(7, 7);MD;0.031121281464530894;9;2.226095271110535
;;;;
(7, 7);HD;0.0;10;3.587134575843811
;;;;
(10, 10);LD;0.06740877253215075;7;12.295418906211854
;;;;
(10, 10);MD;0.08226847899542114;6;16.938644909858702
;;;;
(10, 10);HD;0.0023032629558541267;9;6.727879190444947
